cityName,prov,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29
昆明,云南省,3.0,4.0,4.0,7.0,12.0,15.0,21.0,25.0,30.0,31.0,32.0,34.0,35.0,40.0,41.0,41.0,42.0,45.0,46.0,46.0,48.0,48.0,48.0,51.0,51.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
西双版纳,云南省,1.0,1.0,1.0,1.0,6.0,10.0,10.0,12.0,12.0,12.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
丽江,云南省,1.0,2.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
深圳,广东省,15.0,20.0,31.0,36.0,57.0,80.0,98.0,134.0,170.0,207.0,245.0,271.0,291.0,316.0,339.0,354.0,366.0,369.0,375.0,386.0,391.0,400.0,406.0,414.0,415.0,416.0,416.0,416.0,416.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0
珠海,广东省,8.0,10.0,12.0,12.0,12.0,18.0,26.0,34.0,38.0,47.0,55.0,64.0,72.0,73.0,76.0,83.0,83.0,85.0,86.0,87.0,89.0,91.0,95.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
佛山,广东省,7.0,9.0,10.0,14.0,18.0,21.0,25.0,33.0,39.0,43.0,45.0,49.0,50.0,57.0,59.0,64.0,67.0,70.0,70.0,78.0,81.0,82.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
广州,广东省,7.0,14.0,17.0,41.0,51.0,63.0,94.0,112.0,150.0,179.0,200.0,224.0,249.0,270.0,285.0,301.0,307.0,314.0,317.0,323.0,327.0,328.0,335.0,338.0,339.0,339.0,339.0,339.0,339.0,343.0,345.0,345.0,346.0,346.0,346.0,346.0,346.0
惠州,广东省,5.0,7.0,8.0,8.0,11.0,12.0,17.0,20.0,20.0,23.0,28.0,29.0,34.0,35.0,39.0,47.0,48.0,52.0,53.0,54.0,55.0,56.0,58.0,58.0,58.0,59.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
韶关,广东省,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
阳江,广东省,3.0,5.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0
湛江,广东省,2.0,2.0,4.0,5.0,7.0,9.0,11.0,11.0,13.0,14.0,14.0,18.0,18.0,19.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
中山,广东省,2.0,2.0,2.0,5.0,6.0,13.0,18.0,18.0,18.0,21.0,25.0,31.0,36.0,44.0,46.0,46.0,51.0,56.0,58.0,62.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
肇庆,广东省,1.0,2.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,10.0,10.0,13.0,14.0,14.0,14.0,14.0,15.0,15.0,16.0,16.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
清远,广东省,1.0,2.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
